tech,label_zh,sector,sample,fv,fa,ps,kint,rationale
aviationpkm,民航客运周转量,运输,core,0,0,0,2,赫希曼锚定案例：维护不善以事故或停飞迅速显现，可追溯到航空公司，适航标准国际通行
aviationtkm,民航货运周转量,运输,core,0,0,0,2,同上
steel_bof,氧气顶吹转炉钢,钢铁,core,0,0,0,2,单炉冶炼约20分钟，每炉成分即时化验，出格钢当场判废
steel_eaf,电弧炉钢,钢铁,core,0,0,0,2,单炉成分与温度即时检测，电极与炉衬故障直接停炉
steel_stainless,不锈钢,钢铁,core,0,0,0,2,合金成分与耐蚀性有严格国际标准，出格即判废
steel_ohf,平炉钢,钢铁,core,1,0,0,2,冶炼周期长达数小时，操作者可中途修正；燃料效率低下长期隐藏
steel_acidbess,酸性转炉钢,钢铁,core,1,0,1,2,吹炼快但氮脆与含磷问题在使用数年后才显现（钢轨断裂史）
steel_basicbess,碱性转炉钢,钢铁,core,1,0,1,2,同上，托马斯钢质量依赖原料，检测维度有限
elecprod,发电量,能源,core,1,1,0,2,停电可见，但拉闸限电常态化可被容忍；发电与输配责任需调查；热效率损失隐蔽；频率电压标准明确
shipton_steam,蒸汽商船吨位,运输,core,1,0,0,2,海上故障可见可归责，船级社标准明确；航速与油耗的缓慢退化较隐蔽
shipton_motor,内燃机商船吨位,运输,core,1,0,0,2,同上
shipton_steammotor,机动商船吨位,运输,core,1,0,0,2,同上
spindle_ring,环锭纺锭,纺织,core,1,0,0,1,纱线支数与强力可检测，断头可见；锭速与断头率的效率损失逐步显现
spindle_mule,走锭纺锭,纺织,core,1,0,1,1,纱线质量高度依赖纺工技能，标准化检测维度较少
loom_auto,自动织机,纺织,core,1,0,0,1,布面疵点可检，停台可见；效率退化逐步显现
railline,铁路营业里程,运输,core,2,1,1,2,赫希曼锚定：线路维护可长期推迟，速度与正点率缓慢下降；路网共用，责任分散
railpkm,铁路客运周转量,运输,core,1,1,1,2,事故可见，但延误与服务质量退化可长期容忍；责任分散于机务、工务、电务
railtkm,铁路货运周转量,运输,core,1,1,1,2,同上
telephone,固定电话主线,通信,core,1,0,1,1,断线用户即时察觉，运营者单一；通话质量与装机等待缺乏客观标准
telegram,电报,通信,core,1,0,1,1,线路中断可见；延误与错码难以系统测度
mail,邮件,通信,core,2,1,2,1,单件延误或遗失无从察觉，环节多责任分散，服务质量缺少客观标准
bed_hosp,医院床位,医疗,core,2,2,2,1,医疗质量结果滞后且受病人构成干扰，床位数本身不带绩效信息
atm,自动柜员机,金融,ext,0,0,0,1,机器状态集中监控，故障即时可见并可归责
pos,销售终端,金融,ext,0,0,0,1,同上
kidney_dialpat,透析病人,医疗,ext,1,0,1,1,透析充分性有指标但执行中可放松，并发症滞后
transplant_kidney,肾移植,医疗,ext,1,0,0,2,移植肾功能可用肌酐等指标检测，一年存活率标准通行
transplant_heart,心脏移植,医疗,ext,0,0,0,2,失败迅速显现为死亡，可归责，结果标准明确
transplant_liver,肝移植,医疗,ext,0,0,0,2,同上
transplant_lung,肺移植,医疗,ext,0,0,0,2,同上
transplant_bonemarrow,骨髓移植,医疗,ext,1,0,0,2,植入失败数周内显现
med_catscanner,CT设备,医疗,ext,1,1,1,2,设备停机可见，但成像质量与读片错误难以察觉
med_mriunit,核磁共振设备,医疗,ext,1,1,1,2,同上
med_mammograph,乳腺X线机,医疗,ext,2,1,1,1,筛查质量差异大且漏诊数年后才显现
med_radiationequip,放疗设备,医疗,ext,1,1,0,2,剂量学标准严格，但放疗损伤与疗效滞后
med_lithotriptor,碎石机,医疗,ext,1,0,1,2,碎石效果可随访检查，残石率标准不统一
surg_corbypass,冠脉搭桥,医疗,ext,0,0,0,1,手术死亡率即时、可归责到术者，有风险调整标准
surg_pacemaker,起搏器植入,医疗,ext,0,0,0,1,器械功能即时可测
surg_cardcath,心导管检查,医疗,ext,1,0,1,1,并发症可见，适应证把握缺少客观标准
surg_corinterven,冠脉介入,医疗,ext,1,0,1,1,同上
surg_corstent,冠脉支架,医疗,ext,1,0,1,1,同上
surg_appendectomy,阑尾切除,医疗,ext,1,0,1,1,并发症可见，阴性阑尾切除率不易监测
surg_cataract,白内障手术,医疗,ext,1,0,0,1,术后视力可客观检测
surg_lapcholecyst,腹腔镜胆囊切除,医疗,ext,1,0,1,1,胆管损伤可见，适应证宽松
surg_cholecyst,胆囊切除,医疗,ext,1,0,1,1,同上
surg_hipreplace,髋关节置换,医疗,ext,2,1,0,1,假体失效数年后显现，翻修率标准明确
surg_kneereplace,膝关节置换,医疗,ext,2,1,0,1,同上
surg_hernia,疝修补,医疗,ext,2,1,1,1,复发数年后显现
surg_mastectomy,乳房切除,医疗,ext,2,1,1,1,肿瘤学结局滞后，受分期影响
surg_breastcnsv,保乳手术,医疗,ext,2,1,1,1,同上
surg_prostatetrans,经尿道前列腺切除,医疗,ext,2,1,1,1,功能结局滞后且主观
surg_prostatextrans,开放前列腺切除,医疗,ext,2,1,1,1,同上
surg_hysterectomy,子宫切除,医疗,ext,2,1,2,1,适应证宽松，过度手术难以识别
surg_tonsil,扁桃体切除,医疗,ext,2,1,2,1,同上
surg_csection,剖宫产,医疗,ext,2,1,2,1,过度使用无即时后果，适当比例缺乏客观标准
surg_varicosevein,静脉曲张手术,医疗,ext,2,1,2,1,复发与适应证均难监测
